Date,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,,,,,,,,
10/08/1993,120,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
10/09/1993,116,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
10/10/1993,62,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
10/11/1993,44,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
10/12/1993,56,,,42-101-0022,AQS,,,,,,,,
10/13/1993,69,,,42-101-0022,AQS,,,,,,,,
10/14/1993,43,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
10/15/1993,79,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
10/16/1993,69,,ON AMTRAK RIGHT OF WAY - NEAR AIRPORT HI SPEED LINE (ELECTRIFIED),42-101-0136,AQS,,,,,,,,
10/17/1993,49,,,10-003-3001,AQS,,,,,,,,
10/18/1993,81,,,42-101-0022,AQS,,,,,,,,
10/19/1993,41,,,10-003-3001,AQS,,,,,,,,
10/20/1993,40,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
10/21/1993,82,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
10/22/1993,105,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
10/23/1993,43,,,42-101-0022,AQS,,,,,,,,
10/24/1993,103,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
10/25/1993,72,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
10/26/1993,50,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
10/27/1993,56,,,42-101-0022,AQS,,,,,,,,
10/28/1993,112,,,42-101-0022,AQS,,,,,,,,
10/29/1993,139,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
10/30/1993,107,,,42-101-0029,AQS,,,,,,,,
10/31/1993,82,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
11/01/1993,123,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
11/02/1993,55,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
11/03/1993,116,,,42-101-0022,AQS,,,,,,,,
11/04/1993,81,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
11/05/1993,107,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
11/06/1993,104,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
